---Resultados de clientes ejercicio 1---
Cliente;Tiempo medio de servicio
Cliente1;0,00665657
Cliente0;0,00662758
Cliente3;0,0066481
Cliente4;0,00666391
Cliente5;0,00666605
Cliente2;0,00668236
Cliente2;0,00671025
Cliente1;0,00675558
Cliente5;0,00672931
Cliente4;0,00673312
Cliente3;0,00672887
Cliente0;0,0067078
Cliente3;0,00666272
Cliente1;0,00664967
Cliente5;0,0066629
Cliente0;0,00662207
Cliente2;0,00656105
Cliente4;0,00663925
Cliente5;0,00673048
Cliente4;0,0067061
Cliente0;0,00673952
Cliente1;0,00670147
Cliente3;0,0067027
Cliente2;0,00668899
Cliente5;0,00655878
Cliente2;0,00659889
Cliente0;0,0065829
Cliente1;0,00658097
Cliente4;0,00665971
Cliente3;0,00659557
