---Resultados de clientes ejercicio 1---
Cliente;Tiempo medio de servicio

Cliente1;0,00322614
Cliente0;0,00320105

Cliente0;0,00329639
Cliente2;0,00328627
Cliente3;0,00326774
Cliente1;0,00328242

Cliente4;0,00338436
Cliente5;0,00334693
Cliente1;0,00336619
Cliente2;0,00334483
Cliente0;0,00337634
Cliente3;0,00335927

Cliente6;0,00342596
Cliente1;0,00347521
Cliente0;0,00349194
Cliente3;0,0034549
Cliente5;0,00344623
Cliente7;0,00345517
Cliente4;0,00342681
Cliente2;0,00343679

Cliente6;0,00361483
Cliente3;0,00356129
Cliente4;0,0035436
Cliente1;0,00356682
Cliente5;0,0035175
Cliente7;0,0035857
Cliente8;0,00357946
Cliente0;0,00354661
Cliente9;0,0035615
Cliente2;0,00357844

Cliente9;0,00364541
Cliente1;0,00360238
Cliente5;0,00364351
Cliente2;0,0036449
Cliente10;0,00364494
Cliente7;0,00372285
Cliente8;0,00369846
Cliente4;0,003656
Cliente0;0,00369915
Cliente3;0,00364374
Cliente11;0,00369552
Cliente6;0,00368229

Cliente10;0,00381441
Cliente5;0,00380521
Cliente6;0,00372984
Cliente11;0,00382029
Cliente9;0,00376593
Cliente4;0,0037792
Cliente12;0,00379073
Cliente1;0,00380583
Cliente13;0,00383294
Cliente2;0,00376554
Cliente8;0,00384338
Cliente3;0,00378472
Cliente0;0,00378229
Cliente7;0,0037408

Cliente2;0,00387484
Cliente8;0,00387085
Cliente0;0,00391426
Cliente13;0,00393752
Cliente3;0,00395271
Cliente4;0,00397621
Cliente11;0,00397648
Cliente1;0,0039094
Cliente12;0,00391844
Cliente10;0,00387642
Cliente15;0,0039162
Cliente9;0,00393837
Cliente14;0,00390102
Cliente7;0,00388542
Cliente5;0,00393341
Cliente6;0,00391448

Cliente2;0,00406076
Cliente4;0,00404299
Cliente12;0,00405995
Cliente14;0,00407967
Cliente16;0,00405402
Cliente7;0,00405178
Cliente8;0,0040429
Cliente11;0,00407009
Cliente10;0,00405266
Cliente5;0,00405137
Cliente6;0,00409076
Cliente3;0,00403624
Cliente13;0,00399779
Cliente0;0,00406998
Cliente15;0,00400048
Cliente9;0,00404195
Cliente1;0,00407332
Cliente17;0,00398862

Cliente9;0,00420574
Cliente7;0,00419588
Cliente6;0,00421978
Cliente10;0,00418416
Cliente3;0,00418295
Cliente4;0,00419383
Cliente5;0,00421602
Cliente16;0,00420494
Cliente1;0,00421012
Cliente8;0,00417224
Cliente14;0,00419211
Cliente17;0,00419178
Cliente18;0,00422327
Cliente15;0,00423758
Cliente0;0,00414947
Cliente11;0,00420342
Cliente12;0,004168
Cliente19;0,00417168
Cliente2;0,00421553
Cliente13;0,00417462

Cliente18;0,00437362
Cliente10;0,00435909
Cliente6;0,0043528
Cliente12;0,00439457
Cliente5;0,00440411
