---Resultados de servidores ejercicio 1---
Servidor;Tareas;Carga(%);Peticiones/s

Servidor9;2038;3,61693;15,3918
Servidor0;1972;3,5902;14,8937
Servidor1;1997;3,71083;15,0825
Servidor2;1977;3,50319;14,9314
Servidor3;2006;3,5382;15,1504
Servidor4;1944;3,60854;14,6821
Servidor5;2034;3,68612;15,3618
Servidor6;2079;3,77294;15,7016
Servidor7;1973;3,60567;14,901
Servidor8;1980;3,57978;14,9538

Servidor9;4028;7,07938;30,0958
Servidor0;4012;7,26916;29,9771
Servidor1;4016;7,27758;30,0069
Servidor2;4068;7,42903;30,3953
Servidor3;4025;7,17858;30,074
Servidor4;3960;7,00725;29,5882
Servidor5;3974;6,93007;29,6927
Servidor6;3984;6,9575;29,7674
Servidor7;3930;7,06908;29,3638
Servidor8;4003;7,16939;29,9091

Servidor9;5938;10,5526;44,0864
Servidor0;5948;10,4113;44,1618
Servidor1;5996;10,6337;44,518
Servidor2;6008;10,6807;44,607
Servidor3;6029;10,5877;44,7628
Servidor4;5974;10,6587;44,3543
Servidor5;5919;10,5588;43,9458
Servidor6;6094;10,7304;45,245
Servidor7;6142;10,9741;45,6012
Servidor8;5952;10,578;44,1904

Servidor9;7968;13,985;58,6854
Servidor0;8090;14,1862;59,5855
Servidor1;7932;13,9438;58,4216
Servidor2;8042;14,2246;59,2316
Servidor3;8052;14,143;59,3051
Servidor4;7925;14,0883;58,3695
Servidor5;8009;13,9843;58,988
Servidor6;8031;13,9978;59,1499
Servidor7;7972;14,1951;58,7152
Servidor8;7979;13,8502;58,7666

Servidor9;10002;17,414;73,0676
Servidor0;9991;17,6539;72,9891
Servidor1;10015;17,2251;73,1642
Servidor2;10047;17,6788;73,3978
Servidor3;10062;17,7858;73,5071
Servidor4;10032;17,6578;73,2878
Servidor5;9945;17,532;72,652
Servidor6;9821;16,943;71,7459
Servidor7;9981;17,6025;72,9146
Servidor8;10104;17,5052;73,8129

Servidor9;11970;20,5722;86,6727
Servidor0;12104;20,9968;87,6452
Servidor1;11979;20,6965;86,7398
Servidor2;12024;20,7749;87,0654
Servidor3;12025;20,6764;87,0724
Servidor4;12083;20,824;87,4922
Servidor5;11980;20,808;86,7461
Servidor6;11887;20,255;86,0725
Servidor7;12096;21,0797;87,5856
Servidor8;11852;20,7614;85,8185

Servidor9;13945;24,052;99,6902
Servidor0;13895;23,956;99,3353
Servidor1;13958;23,8145;99,7854
Servidor2;13906;24,0028;99,4134
Servidor3;14120;24,0973;100,943
Servidor4;14098;24,1187;100,785
Servidor5;13939;23,9078;99,6485
Servidor6;13996;23,9013;100,056
Servidor7;14230;24,3352;101,728
Servidor8;13913;23,6513;99,4618

Servidor9;16146;27,6931;114,864
Servidor0;15857;26,7676;112,811
Servidor1;16206;27,7201;115,293
Servidor2;16002;27,2911;113,842
Servidor3;15812;26,8842;112,49
Servidor4;15963;27,2609;113,564
Servidor5;16022;26,9772;113,983
Servidor6;16033;27,3131;114,061
Servidor7;15977;27,0582;113,662
Servidor8;15982;27,3764;113,698

Servidor9;18135;30,6266;127,631
Servidor0;18123;30,5512;127,55
Servidor1;17922;30,2332;126,135
Servidor2;18078;30,4564;127,232
Servidor3;17954;30,225;126,359
Servidor4;17849;29,8911;125,62
Servidor5;18088;30,4222;127,302
Servidor6;18000;30,2236;126,682
Servidor7;17864;29,944;125,724
Servidor8;17987;30,2063;126,59

Servidor9;20018;33,5962;139,946
Servidor0;20284;33,7221;141,809
Servidor1;19878;32,9841;138,971
Servidor2;19911;33,1727;139,201
Servidor3;20096;33,6409;140,494
Servidor4;20053;33,7354;140,193
Servidor5;19873;33,0139;138,934
Servidor6;20028;33,456;140,017
Servidor7;19802;33,0982;138,437
Servidor8;20057;33,6246;140,219

Servidor9;22222;37,0023;153,441
Servidor0;22126;36,578;152,781
Servidor1;22305;36,8435;154,017
Servidor2;21837;35,9047;150,785
Servidor3;22124;36,3056;152,766
