---Resultados de clientes ejercicio 1---
Cliente;Tiempo medio de servicio

Cliente1;0,0066337
Cliente0;0,00665404
Cliente3;0,00663775
Cliente4;0,00660827
Cliente2;0,00662223
Cliente5;0,00663188

Cliente1;0,00666508
Cliente2;0,00670489
Cliente4;0,00663468
Cliente0;0,00667883
Cliente3;0,00664719
Cliente5;0,00664712

Cliente1;0,00663048
Cliente0;0,00665571
Cliente3;0,00665223
Cliente5;0,00670023
Cliente2;0,0066537
Cliente4;0,00666117

Cliente2;0,0066534
Cliente0;0,00673206
Cliente1;0,00665396
Cliente4;0,00668627
Cliente5;0,00669733
Cliente3;0,00666516

Cliente2;0,00661135
Cliente0;0,00671113
Cliente4;0,00666301
Cliente5;0,00665339
Cliente3;0,00667354
Cliente1;0,0066353

Cliente5;0,0066765
Cliente2;0,00666412
Cliente0;0,00661212
Cliente3;0,0066606
Cliente1;0,00665745
Cliente4;0,00663013

Cliente4;0,0066829
Cliente0;0,0066343
Cliente2;0,00663645
Cliente1;0,00668416
Cliente5;0,006632
Cliente3;0,00663318

Cliente1;0,00665771
Cliente3;0,00665121
Cliente4;0,00665689
Cliente5;0,00660826
Cliente0;0,00666759
Cliente2;0,00666512

Cliente4;0,00668985
Cliente3;0,00666799
Cliente1;0,00670446
Cliente2;0,00672289
Cliente5;0,00672262
Cliente0;0,00667942

Cliente1;0,00667125
Cliente3;0,00666405
Cliente5;0,00666699
Cliente0;0,00664759
Cliente4;0,00664423
Cliente2;0,00667942
