---Resultados de clientes ejercicio 1---
Cliente;Tiempo medio de servicio

Cliente0;0,00322253
Cliente1;0,00319573

Cliente2;0,00332081
Cliente0;0,00328189
Cliente1;0,00330043
Cliente3;0,00328155

Cliente5;0,00335578
Cliente2;0,0033555
Cliente4;0,00338272
Cliente3;0,00335019
Cliente0;0,00340096
Cliente1;0,00333916

Cliente7;0,00348208
Cliente2;0,00345863
Cliente1;0,00345318
Cliente5;0,00344496
Cliente3;0,00347401
Cliente0;0,00341876
Cliente4;0,00344702
Cliente6;0,00345547

Cliente4;0,00351977
Cliente3;0,00356765
Cliente7;0,00353266
Cliente9;0,00353332
Cliente8;0,003575
Cliente1;0,00352728
Cliente2;0,00355802
Cliente5;0,00355879
Cliente6;0,00354309
Cliente0;0,00353314

Cliente4;0,00362728
Cliente2;0,00365415
Cliente1;0,00370819
Cliente11;0,00364734
Cliente10;0,00371233
Cliente8;0,00367763
Cliente5;0,003663
Cliente6;0,00367026
Cliente3;0,00367967
Cliente9;0,00364923
Cliente0;0,00365125
Cliente7;0,00365668

Cliente10;0,00379239
Cliente9;0,00378817
Cliente5;0,00373912
Cliente7;0,00376676
Cliente0;0,00374581
Cliente13;0,00375433
Cliente8;0,0037538
Cliente1;0,00377376
Cliente2;0,00379728
Cliente11;0,00376576
Cliente12;0,0037758
Cliente3;0,00379774
Cliente6;0,00374831
Cliente4;0,00376566

Cliente12;0,00392877
Cliente14;0,00393146
Cliente5;0,00393261
Cliente10;0,00390314
Cliente15;0,00390116
Cliente8;0,00393337
Cliente11;0,00393851
Cliente2;0,00393438
Cliente9;0,00394295
Cliente6;0,00393604
Cliente0;0,00389658
Cliente1;0,00396219
Cliente13;0,00395089
Cliente7;0,00394242
Cliente3;0,00391157
Cliente4;0,00390968

Cliente6;0,00406837
Cliente3;0,00403909
Cliente14;0,00403213
Cliente2;0,00406464
Cliente0;0,00405803
Cliente16;0,00406142
Cliente10;0,00403678
Cliente7;0,00401208
Cliente17;0,00403564
Cliente1;0,00402006
Cliente12;0,00404609
Cliente13;0,00403315
Cliente5;0,00403512
Cliente11;0,00403511
Cliente8;0,00401942
Cliente4;0,00406472
Cliente15;0,0040748
Cliente9;0,00405153

Cliente4;0,00422038
Cliente5;0,00417419
Cliente6;0,00418943
Cliente15;0,00415476
Cliente9;0,00414627
Cliente0;0,00417784
Cliente12;0,00421802
Cliente7;0,00422343
Cliente13;0,00420133
Cliente3;0,00418695
Cliente2;0,00416669
Cliente8;0,00419595
Cliente1;0,00416043
Cliente18;0,00417284
Cliente19;0,00420849
Cliente11;0,0042344
Cliente10;0,00418324
Cliente17;0,00418688
Cliente14;0,00420337
Cliente16;0,00415981

Cliente3;0,00434825
Cliente1;0,0043568
Cliente12;0,00437837
Cliente16;0,00437347
Cliente2;0,00434504
Cliente20;0,00435996
Cliente15;0,0043608
Cliente14;0,00435152
Cliente0;0,00440251
Cliente9;0,00431976
Cliente11;0,00436232
Cliente18;0,00434778
Cliente8;0,00436756
Cliente10;0,00441158
Cliente21;0,0043661
Cliente17;0,00436565
Cliente4;0,00432744
Cliente7;0,00438698
Cliente5;0,00436211
Cliente6;0,00431447
Cliente19;0,00434875
Cliente13;0,00432728

Cliente17;0,0045083
Cliente18;0,00449424
Cliente3;0,00453092
Cliente8;0,00454531
Cliente1;0,0045264
Cliente0;0,00452673
Cliente11;0,00453274
Cliente21;0,00452617
Cliente14;0,00453559
Cliente23;0,00452827
Cliente9;0,00455317
Cliente20;0,00456964
Cliente2;0,00454532
Cliente4;0,00457434
Cliente5;0,00449488
Cliente15;0,00450959
Cliente16;0,00454508
Cliente7;0,00449411
Cliente13;0,00447958
Cliente22;0,0045017
Cliente6;0,00452151
Cliente10;0,00451007
Cliente12;0,00453509
Cliente19;0,00450305

Cliente10;0,00475148
Cliente16;0,00472128
Cliente4;0,00467143
Cliente8;0,00471098
Cliente3;0,00468119
Cliente15;0,00470396
Cliente14;0,00474953
Cliente12;0,0046772
Cliente0;0,00474088
Cliente18;0,00468701
Cliente5;0,00473172
Cliente2;0,00468587
Cliente9;0,00474823
Cliente1;0,00472682
Cliente11;0,00465502
Cliente6;0,00468478
Cliente22;0,004688
Cliente25;0,00468133
Cliente19;0,0046831
Cliente24;0,00469034
Cliente7;0,00470136
Cliente13;0,00471444
Cliente17;0,00469478
Cliente21;0,0046894
Cliente23;0,00471119
Cliente20;0,00468056

Cliente3;0,00494644
Cliente9;0,00495271
Cliente26;0,00493351
Cliente7;0,00493926
Cliente0;0,00495128
Cliente21;0,00493124
Cliente14;0,00493041
Cliente19;0,00484848
Cliente25;0,00497736
Cliente2;0,00493609
Cliente15;0,00490138
Cliente27;0,00494355
Cliente23;0,00491586
Cliente12;0,00486104
Cliente11;0,00492373
Cliente22;0,00487637
Cliente4;0,00495869
Cliente6;0,00491396
Cliente24;0,00499747
Cliente17;0,00491795
Cliente10;0,00486478
Cliente5;0,0049443
Cliente1;0,0048609
Cliente16;0,00491115
Cliente18;0,00495189
Cliente13;0,0049481
Cliente20;0,00493274
Cliente8;0,00491729

Cliente13;0,0051438
Cliente11;0,00514536
Cliente4;0,00507698
Cliente21;0,00512136
Cliente0;0,00516087
Cliente24;0,00515573
Cliente12;0,00516459
Cliente10;0,00518467
Cliente28;0,00514438
Cliente25;0,00515165
Cliente7;0,00517347
Cliente27;0,00514564
Cliente18;0,00513289
Cliente19;0,00514611
Cliente23;0,00515781
Cliente14;0,00517723
Cliente6;0,00517866
Cliente15;0,00515822
Cliente20;0,00514924
Cliente5;0,00515659
Cliente8;0,00511604
Cliente3;0,0051241
Cliente9;0,00507878
