---Resultados de servidores ejercicio 1---
Servidor;Tareas;Carga(%);Peticiones/s

Servidor9;1976;3,52023;14,7347
Servidor0;2039;3,72518;15,2049
Servidor1;1924;3,43673;14,3473
Servidor2;1995;3,59763;14,8767
Servidor3;1953;3,51314;14,5634
Servidor4;1992;3,47327;14,8542
Servidor5;2072;3,59403;15,4507
Servidor6;2029;3,57231;15,13
Servidor7;2060;3,66536;15,3611
Servidor8;1960;3,51397;14,6154

Servidor9;4043;7,27089;30,2365
Servidor0;4079;7,22528;30,5066
Servidor1;3957;7,09952;29,5941
Servidor2;3950;7,09506;29,5416
Servidor3;3975;7,2402;29,7285
Servidor4;3943;7,13149;29,4891
Servidor5;4021;7,15455;30,0724
Servidor6;3929;7,12078;29,3842
Servidor7;3996;7,22858;29,8852
Servidor8;4107;7,31737;30,7153

Servidor9;5910;10,392;43,6556
Servidor0;6134;10,659;45,3115
Servidor1;6179;10,9483;45,6437
Servidor2;5944;10,464;43,9077
Servidor3;6066;10,8755;44,8088
Servidor4;5891;10,2093;43,5159
Servidor5;5912;10,5098;43,6709
Servidor6;6117;10,7513;45,1851
Servidor7;5973;10,4905;44,1213
Servidor8;5874;10,5372;43,3898

Servidor9;7833;13,7745;57,6997
Servidor0;7979;14,0969;58,7767
Servidor1;8087;14,308;59,5721
Servidor2;8084;14,3727;59,5498
Servidor3;8011;13,9923;59,0119
Servidor4;7942;13,9261;58,5034
Servidor5;8025;14,108;59,1147
Servidor6;7989;13,9894;58,8493
Servidor7;7990;13,9532;58,8565
Servidor8;8060;14,0247;59,372

Servidor9;10099;17,8359;73,8554
Servidor0;10046;17,5695;73,4697
Servidor1;9829;17,1357;71,8825
Servidor2;10116;17,7683;73,9812
Servidor3;9992;17,1914;73,0742
Servidor4;9994;17,5222;73,0886
Servidor5;10074;17,4527;73,6734
Servidor6;9952;17,2349;72,781
Servidor7;9916;16,9642;72,5175
Servidor8;9982;17,465;73 

Servidor9;11955;20,6226;86,3068
Servidor0;11902;20,5412;85,9264
Servidor1;11970;20,6654;86,4171
Servidor2;11848;20,4298;85,5361
Servidor3;11851;20,2179;85,5575
Servidor4;12156;21,0942;87,7592
Servidor5;12156;21,2294;87,7589
Servidor6;12049;20,549;86,9862
Servidor7;12036;20,9015;86,8921
Servidor8;12077;20,7746;87,1878

Servidor9;14141;24,1333;100,869
Servidor0;13889;23,3567;99,0738
Servidor1;14157;24,1006;100,985
Servidor2;14209;24,5013;101,356
Servidor3;14065;23,7689;100,328
Servidor4;13966;23,6888;99,6219
Servidor5;13828;23,8733;98,6373
Servidor6;13869;23,5918;98,9294
Servidor7;14188;23,9172;101,205
Servidor8;13688;23,321;97,6378

Servidor9;15900;26,7907;112,736
Servidor0;16062;27,2797;113,887
Servidor1;16183;27,566;114,745
Servidor2;16181;27,729;114,73
Servidor3;16007;27,2539;113,496
Servidor4;16007;27,1255;113,496
Servidor5;15829;26,7603;112,234
Servidor6;15854;26,8691;112,411
Servidor7;16010;27,2484;113,516
Servidor8;15967;27,1997;113,211

Servidor9;17921;30,1127;126,01
Servidor0;18263;30,6923;128,418
Servidor1;17660;29,7211;124,178
Servidor2;18015;30,3794;126,674
Servidor3;18011;30,1079;126,645
Servidor4;17874;30,1016;125,682
Servidor5;18157;30,3981;127,671
Servidor6;18267;30,8247;128,444
Servidor7;17757;29,788;124,858
Servidor8;18075;30,8058;127,093

Servidor9;20229;33,5068;140,687
Servidor0;19979;33,1259;138,952
Servidor1;20100;33,6111;139,793
Servidor2;19851;32,8445;138,061
Servidor3;19636;32,9533;136,565
Servidor4;20169;33,5976;140,272
Servidor5;20090;33,4247;139,722
Servidor6;20061;33,2008;139,52
Servidor7;19762;33,1041;137,44
Servidor8;20123;33,1409;139,95

Servidor9;22133;36,118;151,826
Servidor0;22107;36,5449;151,651
Servidor1;22048;36,1816;151,246
Servidor2;21865;35,9081;149,991
Servidor3;22121;35,8907;151,746
Servidor4;22194;36,2974;152,247
Servidor5;21916;36,2398;150,339
