---Resultados de clientes ejercicio 2a dispatcher round robin---
Cliente;Tiempo medio de servicio

Cliente1;0,00314954
Cliente0;0,00318677

Cliente3;0,00314911
Cliente2;0,00318939
Cliente0;0,00313319
Cliente1;0,00317627

Cliente4;0,00314947
Cliente5;0,00319974
Cliente2;0,00318444
Cliente1;0,00319283
Cliente0;0,0031646
Cliente3;0,00312493

Cliente1;0,00321361
Cliente7;0,00318035
Cliente3;0,00318808
Cliente5;0,00315095
Cliente4;0,0031867
Cliente2;0,00319869
Cliente6;0,00317259
Cliente0;0,00318447

Cliente2;0,00322223
Cliente4;0,00318913
Cliente7;0,00319103
Cliente3;0,00320648
Cliente0;0,00321738
Cliente1;0,00319525
Cliente8;0,00321725
Cliente6;0,00317024
Cliente5;0,00321251
Cliente9;0,00319976

Cliente0;0,00323611
Cliente9;0,00321571
Cliente7;0,00322571
Cliente3;0,00322486
Cliente11;0,00322939
Cliente6;0,00321199
Cliente5;0,00320578
Cliente8;0,00321089
Cliente10;0,00320487
Cliente4;0,0032174
Cliente2;0,00319672
Cliente1;0,00322074

Cliente11;0,0032438
Cliente5;0,0033001
Cliente9;0,00326927
Cliente8;0,0032385
Cliente10;0,00325545
Cliente7;0,0032623
Cliente1;0,00322166
Cliente12;0,00326078
Cliente0;0,00326805
Cliente3;0,0032523
Cliente6;0,00328979
Cliente2;0,00325996
Cliente4;0,00326663
Cliente13;0,00324849

Cliente10;0,00332093
Cliente2;0,00332232
Cliente6;0,00334507
Cliente1;0,00334156
Cliente7;0,00330422
Cliente9;0,00332656
Cliente0;0,00330668
Cliente4;0,0032769
Cliente12;0,00329648
Cliente3;0,00332397
Cliente15;0,00327084
Cliente11;0,0032845
Cliente8;0,00328042
Cliente5;0,00334771
Cliente13;0,00329036
Cliente14;0,00327992

Cliente1;0,00337131
Cliente17;0,00339352
Cliente16;0,003362
Cliente4;0,00337569
Cliente11;0,00336391
Cliente0;0,00334593
Cliente5;0,00335863
Cliente13;0,003338
Cliente9;0,00335221
Cliente3;0,00338807
Cliente2;0,00336812
Cliente12;0,00337801
Cliente15;0,00335244
Cliente7;0,00332891
Cliente14;0,00335256
Cliente8;0,00338374
Cliente10;0,00336346
Cliente6;0,00335593

Cliente0;0,0034536
Cliente19;0,00343373
Cliente17;0,00344786
Cliente12;0,00347771
Cliente11;0,00346498
Cliente5;0,00344917
Cliente14;0,00341381
Cliente7;0,00344692
Cliente6;0,00342395
Cliente10;0,00342252
Cliente4;0,00346723
Cliente2;0,00343504
Cliente1;0,00345948
Cliente16;0,00342169
Cliente9;0,00348153
Cliente13;0,0034311
Cliente3;0,00342874
Cliente8;0,00344888
