---Resultados de servidores ejercicio 2a dispatcher round robin---
Servidor;Tareas;Carga(%);Peticiones/s

Servidor9;2000;3,71654;15,024
Servidor0;2000;3,57515;15,0244
Servidor1;2000;3,66748;15,0244
Servidor2;2000;3,56838;15,0243
Servidor3;2000;3,53091;15,0243
Servidor4;2000;3,61983;15,0242
Servidor5;2000;3,6053;15,0242
Servidor6;2000;3,56832;15,0241
Servidor7;2000;3,46101;15,0241
Servidor8;2000;3,56067;15,024

Servidor9;4000;7,21531;30,0879
Servidor0;4000;7,06903;30,0887
Servidor1;4000;7,14755;30,0886
Servidor2;4000;7,11403;30,0885
Servidor3;4000;7,05654;30,0884
Servidor4;4000;7,2679;30,0883
Servidor5;4000;7,3157;30,0882
Servidor6;4000;7,10382;30,0881
Servidor7;4000;7,12188;30,088
Servidor8;4000;7,2023;30,0879

Servidor9;6000;10,6745;44,7229
Servidor0;6000;10,7025;44,7241
Servidor1;6000;10,6597;44,7239
Servidor2;6000;10,6717;44,7238
Servidor3;6000;10,5204;44,7237
Servidor4;6000;10,6142;44,7236
Servidor5;6000;10,6931;44,7234
Servidor6;6000;10,793;44,7233
Servidor7;6000;10,6994;44,7232
Servidor8;6000;10,5176;44,723

Servidor9;8000;14,2188;59,9771
Servidor0;8000;14,4917;59,9787
Servidor1;8000;14,3148;59,9785
Servidor2;8000;14,2757;59,9783
Servidor3;8000;14,0874;59,9781
Servidor4;8000;14,4633;59,978
Servidor5;8000;14,3581;59,9778
Servidor6;8000;14,42;59,9776
Servidor7;8000;14,3319;59,9774
Servidor8;8000;14,2898;59,9773

Servidor9;10000;17,9248;74,4072
Servidor0;10000;17,6237;74,4091
Servidor1;10000;18,03;74,4089
Servidor2;10000;17,8656;74,4087
Servidor3;10000;17,8723;74,4085
Servidor4;10000;17,4916;74,4083
Servidor5;10000;17,8967;74,408
Servidor6;10000;17,8844;74,4078
Servidor7;10000;17,6631;74,4076
Servidor8;10000;17,7416;74,4074

Servidor9;12000;21,5235;89,9254
Servidor0;12000;21,506;89,9277
Servidor1;12000;21,2255;89,9275
Servidor2;12000;21,3639;89,9272
Servidor3;12000;21,4305;89,9269
Servidor4;12000;21,4281;89,9267
Servidor5;12000;21,3842;89,9264
Servidor6;12000;21,522;89,9261
Servidor7;12000;21,4688;89,9259
Servidor8;12000;21,5308;89,9256

Servidor9;14000;24,59;104,335
Servidor0;14000;24,6898;104,338
Servidor1;14000;24,9609;104,337
Servidor2;14000;25,1158;104,337
Servidor3;14000;25,1408;104,337
Servidor4;14000;24,6303;104,336
Servidor5;14000;25,0961;104,336
Servidor6;14000;24,8654;104,336
Servidor7;14000;25,0298;104,335
Servidor8;14000;25,1076;104,335

Servidor9;16000;28,7506;119,035
Servidor0;16000;28,4612;119,038
Servidor1;16000;28,4543;119,038
Servidor2;16000;28,1433;119,038
Servidor3;16000;28,8378;119,037
Servidor4;16000;28,8902;119,037
Servidor5;16000;28,5674;119,037
Servidor6;16000;27,9948;119,036
Servidor7;16000;28,2674;119,036
Servidor8;16000;28,2744;119,036

Servidor9;18000;31,818;133,035
Servidor0;18000;31,7543;133,039
Servidor1;18000;32,0429;133,038
Servidor2;18000;31,9486;133,038
Servidor3;18000;31,9014;133,038
Servidor4;18000;31,7249;133,037
Servidor5;18000;31,7932;133,037
Servidor6;18000;31,9199;133,037
Servidor7;18000;31,567;133,036
Servidor8;18000;31,6397;133,036

Servidor9;20000;35,293;147,395
Servidor0;20000;35,0504;147,398
Servidor1;20000;35,3826;147,398
Servidor2;20000;35,2213;147,398
Servidor3;20000;35,1571;147,397
Servidor4;20000;35,6045;147,397
Servidor5;20000;35,2838;147,396
Servidor6;20000;35,1319;147,396
Servidor7;20000;35,6041;147,396
Servidor8;20000;35,6556;147,395

Servidor9;22000;38,3302;160,023
Servidor0;22000;38,2746;160,027
Servidor1;22000;38,2922;160,026
Servidor2;22000;38,4657;160,026
Servidor3;22000;38,5807;160,025
