---Resultados de clientes ejercicio 2b dispatcher aleatorio---
Cliente;Tiempo medio de servicio

Cliente31;0,109735
Cliente46;0,109744
Cliente23;0,109829
Cliente6;0,109786
Cliente25;0,109835
Cliente1;0,109723
Cliente8;0,109864
Cliente29;0,109893
Cliente37;0,109911
Cliente48;0,109802
Cliente14;0,109856
Cliente2;0,109861
Cliente9;0,109813
Cliente32;0,109846
Cliente43;0,109856
Cliente17;0,109873
Cliente18;0,109893
Cliente16;0,109849
Cliente10;0,109786
Cliente4;0,109952
Cliente41;0,109862
Cliente15;0,1098
Cliente44;0,1098
Cliente28;0,109843
Cliente26;0,10985
Cliente7;0,109784
Cliente22;0,109803
Cliente49;0,109863
Cliente39;0,10985
Cliente11;0,109843
Cliente5;0,10983
Cliente42;0,109904
Cliente45;0,109877
Cliente12;0,109855
Cliente13;0,109874
Cliente20;0,109845
Cliente38;0,109897
Cliente0;0,109889
Cliente47;0,109828
Cliente33;0,109874
Cliente35;0,109834
Cliente21;0,10986
Cliente34;0,109873
Cliente40;0,109868
Cliente24;0,109865
Cliente30;0,109855
Cliente19;0,109804
Cliente36;0,109831
Cliente3;0,109928
Cliente27;0,109854

Cliente24;0,0511339
Cliente38;0,0512508
Cliente32;0,0510654
Cliente43;0,0512148
Cliente23;0,0509635
Cliente11;0,0508637
Cliente14;0,0510537
Cliente37;0,0509721
Cliente6;0,05119
Cliente27;0,0510464
Cliente30;0,0510833
Cliente16;0,0510082
Cliente5;0,0510753
Cliente44;0,0510835
Cliente3;0,0507902
Cliente33;0,0510044
Cliente46;0,050925
Cliente20;0,0510012
Cliente41;0,0511488
Cliente48;0,0509069
Cliente17;0,0510362
Cliente4;0,0508574
Cliente7;0,0509337
Cliente13;0,0508756
Cliente25;0,0512144
Cliente26;0,050898
Cliente0;0,0509936
Cliente19;0,0509413
Cliente36;0,0509608
Cliente45;0,0509153
Cliente28;0,0510201
Cliente21;0,050811
Cliente9;0,0508551
Cliente34;0,0509918
Cliente18;0,0508603
Cliente31;0,0509243
Cliente40;0,050965
Cliente49;0,0507521
Cliente1;0,0507874
Cliente2;0,0508461
Cliente15;0,0508083
Cliente8;0,0508798
Cliente29;0,0507283
Cliente12;0,0508709
Cliente22;0,0506521
Cliente39;0,0507394
Cliente42;0,0506691
Cliente35;0,0504877
Cliente47;0,0504521
Cliente10;0,050497

Cliente19;0,0221566
Cliente4;0,0222035
Cliente41;0,022145
Cliente14;0,0223405
Cliente38;0,0222321
Cliente15;0,0220255
Cliente48;0,0220421
Cliente30;0,0222676
Cliente33;0,0221264
Cliente36;0,0222888
Cliente45;0,0221911
Cliente24;0,0221603
Cliente28;0,0221793
Cliente9;0,0222027
Cliente31;0,0222228
Cliente27;0,0221336
Cliente40;0,0221216
Cliente7;0,0220652
Cliente17;0,0221799
Cliente39;0,0220735
Cliente22;0,022082
Cliente42;0,0220736
Cliente46;0,0220706
Cliente1;0,0221516
Cliente8;0,0221599
Cliente13;0,0221567
Cliente23;0,0221759
Cliente11;0,0221907
