---Resultados de servidores ejercicio 2b dispatcher aleatorio---
Servidor;Tareas;Carga(%);Peticiones/s

Servidor0;500000;99,9943;416,987

Servidor1;249780;97,651;408,604
Servidor0;250220;97,9401;409,324

Servidor3;124736;92,4222;386,395
Servidor0;125210;92,7801;387,865
Servidor1;124827;92,4983;386,678
Servidor2;125227;92,432;387,917

Servidor7;62490;73,5709;308,019
Servidor0;62459;73,5748;307,87
Servidor1;62261;73,3437;306,893
Servidor2;62764;74,5076;309,372
Servidor3;61920;72,7731;305,211
Servidor4;62425;73,3056;307,7
Servidor5;62898;74,2276;310,031
Servidor6;62783;73,9758;309,463

Servidor9;49876;61,8026;256,911
Servidor0;49855;61,6929;256,808
Servidor1;50154;61,6711;258,348
Servidor2;49922;61,4262;257,152
Servidor3;49929;61,5548;257,188
Servidor4;49859;61,3599;256,826
Servidor5;49931;61,4731;257,197
Servidor6;49958;61,5941;257,335
Servidor7;50284;61,7268;259,014
Servidor8;50232;62,0561;258,746
