---Resultados de clientes ejercicio 2b dispatcher round robin---
Cliente;Tiempo medio de servicio

Cliente39;0,109756
Cliente10;0,109666
Cliente26;0,109788
Cliente2;0,10966
Cliente22;0,109749
Cliente40;0,109741
Cliente33;0,109727
Cliente38;0,109775
Cliente41;0,109787
Cliente6;0,109746
Cliente47;0,10986
Cliente18;0,109779
Cliente49;0,109809
Cliente8;0,10973
Cliente16;0,109718
Cliente31;0,109719
Cliente28;0,109743
Cliente12;0,109846
Cliente19;0,109812
Cliente0;0,109738
Cliente21;0,109772
Cliente25;0,109814
Cliente5;0,109858
Cliente42;0,109795
Cliente23;0,109756
Cliente45;0,109897
Cliente36;0,10983
Cliente15;0,109819
Cliente44;0,10984
Cliente37;0,109868
Cliente7;0,109846
Cliente48;0,109809
Cliente9;0,109843
Cliente29;0,109798
Cliente20;0,109799
Cliente4;0,109794
Cliente43;0,109849
Cliente17;0,109782
Cliente24;0,109872
Cliente3;0,109859
Cliente32;0,109787
Cliente30;0,109843
Cliente1;0,109893
Cliente35;0,109858
Cliente34;0,109855
Cliente27;0,109894
Cliente11;0,109887
Cliente46;0,109787
Cliente13;0,109798
Cliente14;0,109839

Cliente21;0,0507345
Cliente9;0,0506976
Cliente12;0,050531
Cliente5;0,050635
Cliente3;0,0506383
Cliente47;0,0503442
Cliente13;0,0504642
Cliente48;0,0506166
Cliente25;0,0505391
Cliente24;0,0504462
Cliente2;0,050641
Cliente4;0,0504934
Cliente49;0,0505189
Cliente0;0,0503737
Cliente38;0,0505222
Cliente46;0,050647
Cliente18;0,0505868
Cliente36;0,0504346
Cliente32;0,050378
Cliente45;0,0504888
Cliente8;0,0506875
Cliente30;0,0505514
Cliente10;0,0504318
Cliente19;0,0504865
Cliente33;0,0505615
Cliente23;0,0503792
Cliente34;0,0504903
Cliente1;0,0505582
Cliente28;0,0506382
Cliente16;0,0503041
Cliente6;0,0505305
Cliente14;0,050569
Cliente42;0,0503605
Cliente29;0,0504881
Cliente26;0,0503577
Cliente44;0,0504706
Cliente7;0,0502851
Cliente37;0,0503269
Cliente11;0,0504705
Cliente43;0,0504694
Cliente41;0,0505286
Cliente22;0,0502886
Cliente39;0,0503064
Cliente20;0,0504253
Cliente31;0,050307
Cliente35;0,0503269
Cliente17;0,0502232
Cliente40;0,0501297
Cliente15;0,0499915
Cliente27;0,0497347

Cliente26;0,0209324
Cliente33;0,0209183
Cliente22;0,0209421
Cliente21;0,0209664
Cliente13;0,020882
Cliente45;0,0209063
Cliente15;0,0208328
Cliente38;0,020948
Cliente23;0,0208382
Cliente34;0,0208309
Cliente6;0,0207638
Cliente49;0,0208808
Cliente35;0,020859
Cliente46;0,0209743
Cliente32;0,0208229
Cliente25;0,020949
Cliente11;0,0208817
Cliente16;0,0209124
Cliente41;0,0209543
Cliente48;0,0207243
Cliente7;0,0207949
Cliente36;0,0207226
Cliente20;0,0208109
Cliente43;0,0208783
Cliente5;0,0209018
Cliente31;0,0208278
Cliente29;0,0208048
Cliente9;0,0209545
Cliente3;0,0207688
Cliente17;0,0207491
Cliente44;0,0207829
Cliente18;0,0208754
Cliente14;0,0209533
Cliente1;0,0209014
Cliente2;0,0208128
Cliente42;0,020823
Cliente28;0,0210038
Cliente39;0,0209204
Cliente4;0,0207172
Cliente30;0,0209186
Cliente27;0,0207605
Cliente0;0,0208475
Cliente40;0,0206678
Cliente8;0,0207858
Cliente37;0,0207425
Cliente10;0,0206883
Cliente47;0,0207578
Cliente19;0,0206541
Cliente12;0,0206529
Cliente24;0,0206958

Cliente9;0,00904005
Cliente3;0,00905337
Cliente7;0,00902923
Cliente36;0,00904656
Cliente6;0,00910914
Cliente49;0,00906643
Cliente5;0,00908598
Cliente42;0,00908946
Cliente41;0,0091123
Cliente28;0,00910484
Cliente44;0,00910528
