---Resultados de servidores ejercicio 2b dispatcher round robin---
Servidor;Tareas;Carga(%);Peticiones/s

Servidor0;500000;99,9934;417,083

Servidor1;250000;98,8245;411,982
Servidor0;250000;99,11;411,982

Servidor3;125000;96,1158;402,703
Servidor0;125000;96,2997;402,705
Servidor1;125000;96,5432;402,704
Servidor2;125000;96,1529;402,704

Servidor7;62500;78,001;325,173
Servidor0;62500;77,5965;325,178
Servidor1;62500;78,3671;325,177
Servidor2;62500;77,7341;325,177
Servidor3;62500;78,3522;325,176
Servidor4;62500;77,5352;325,175
Servidor5;62500;77,6583;325,175
Servidor6;62500;77,651;325,174

Servidor9;50000;62,3747;260,574
Servidor0;50000;62,1648;260,578
Servidor1;50000;62,2941;260,578
Servidor2;50000;62,3619;260,577
Servidor3;50000;62,5275;260,577
Servidor4;50000;62,1308;260,576
Servidor5;50000;62,0038;260,576
Servidor6;50000;62,4875;260,575
Servidor7;50000;62,1027;260,575
Servidor8;50000;62,6015;260,574
